Control,State,County,Type,Type,Date,Post Data,Parcels
6946,FL,Osceola,Deed,Online,2/4/2014,1/3/2014,69
7214,FL,Osceola,Deed,Online,2/18/2014,1/30/2014,10
7413,FL,Osceola,Deed,Online,3/18/2014,2/17/2014,43
7885,FL,Osceola,Deed,Online,4/8/2014,4/3/2014,26
7884,FL,Osceola,Deed,Online,5/6/2014,4/3/2014,22
8756,FL,Osceola,Deed,Online,6/17/2014,6/12/2014,7
8755,FL,Osceola,Deed,Online,7/15/2014,6/12/2014,19
9110,FL,Osceola,Deed,Online,8/5/2014,7/15/2014,17
9472,FL,Osceola,Deed,Online,9/16/2014,8/20/2014,31
9659,FL,Osceola,Deed,Online,10/14/2014,9/5/2014,16
10126,FL,Osceola,Deed,Online,11/4/2014,10/21/2014,54
10362,FL,Osceola,Deed,Online,12/9/2014,11/19/2014,22
10446,FL,Osceola,Deed,Online,1/13/2015,12/4/2014,23
10600,FL,Osceola,Deed,Online,2/10/2015,1/8/2015,10
10816,FL,Osceola,Deed,Online,3/10/2015,2/6/2015,12
11263,FL,Osceola,Deed,Online,4/14/2015,3/25/2015,3
11431,FL,Osceola,Deed,Online,5/5/2015,4/16/2015,36
12307,FL,Osceola,Deed,Online,8/18/2015,7/9/2015,21
12809,FL,Osceola,Deed,Online,9/1/2015,8/25/2015,20
12808,FL,Osceola,Deed,Online,10/6/2015,8/25/2015,34
13393,FL,Osceola,Deed,Online,11/17/2015,10/19/2015,19
13689,FL,Osceola,Deed,Online,12/8/2015,11/22/2015,35
13906,FL,Osceola,Deed,Online,1/12/2016,1/6/2016,38
14310,FL,Osceola,Deed,Online,3/15/2016,2/22/2016,18
14501,FL,Osceola,Deed,Online,4/12/2016,3/17/2016,7
14747,FL,Osceola,Deed,Online,5/17/2016,4/22/2016,11
15027,FL,Osceola,Deed,Online,7/12/2016,6/27/2016,39
15111,FL,Osceola,Deed,Online,8/16/2016,7/19/2016,37
15281,FL,Osceola,Deed,Online,9/13/2016,8/25/2016,42
15280,FL,Osceola,Deed,Online,9/27/2016,8/25/2016,33
4097,FL,Osceola,Lien,Online,5/31/2013,5/11/2013,11235
4888,FL,Osceola,Lien,Online,7/30/2013,7/16/2013,22
8276,FL,Osceola,Lien,Online,5/30/2014,5/12/2014,9668
11681,FL,Osceola,Lien,Online,5/29/2015,5/11/2015,8800
1990,FL,Osceola,Lien,Online – Otc,9/4/2013,n/a,8541
1986,FL,Osceola,Lien,Online – Otc,3/12/2014,n/a,8234
1978,FL,Osceola,Lien,Online – Otc Lien,3/9/2015,n/a,6920
1699,FL,Osceola,Lien,Online – Otc Lien,3/2/2016,n/a,524
1988,FL,Osceola,Lien,Online Otc,12/18/2013,n/a,8362
1989,FL,Osceola,Lien,Online Otc,7/1/2014,n/a,8363
2010,FL,Osceola,Lien,Online Otc Lien,12/12/2014,n/a,14241
2011,FL,Osceola,Lien,Online Otc Lien,12/12/2014,n/a,14241
1976,FL,Osceola,Lien,OTC,1/7/2013,n/a,6789
8277,FL,Osceola,n/a,n/a,5/30/2014,5/12/2014,9668
2545,FL,Palm Beach,Deed,Online,10/17/2012,10/3/2012,25
2855,FL,Palm Beach,Deed,Online,11/7/2012,10/31/2012,137
3103,FL,Palm Beach,Deed,Online,12/5/2012,11/28/2012,76
3575,FL,Palm Beach,Deed,Online,3/13/2013,3/5/2013,89
3772,FL,Palm Beach,Deed,Online,4/10/2013,4/1/2013,85
4017,FL,Palm Beach,Deed,Online,5/8/2013,4/26/2013,1
3771,FL,Palm Beach,Deed,Online,5/15/2013,4/1/2013,68
4293,FL,Palm Beach,Deed,Online,6/12/2013,5/24/2013,71
4569,FL,Palm Beach,Deed,Online,7/10/2013,6/18/2013,2
4568,FL,Palm Beach,Deed,Online,7/17/2013,6/18/2013,129
4567,FL,Palm Beach,Deed,Online,8/14/2013,6/18/2013,86
4938,FL,Palm Beach,Deed,Online,8/14/2013,7/18/2013,86
4937,FL,Palm Beach,Deed,Online,9/11/2013,7/18/2013,73
6082,FL,Palm Beach,Deed,Online,10/9/2013,10/4/2013,43
6081,FL,Palm Beach,Deed,Online,11/6/2013,10/4/2013,46
6080,FL,Palm Beach,Deed,Online,12/11/2013,10/4/2013,40
6797,FL,Palm Beach,Deed,Online,1/15/2014,12/5/2013,133
9914,FL,Palm Beach,Deed,Online,1/15/2014,10/2/2014,17
6796,FL,Palm Beach,Deed,Online,2/12/2014,12/5/2013,95
7461,FL,Palm Beach,Deed,Online,3/12/2014,2/19/2014,101
7460,FL,Palm Beach,Deed,Online,4/9/2014,2/19/2014,115
7869,FL,Palm Beach,Deed,Online,6/11/2014,4/2/2014,146
8952,FL,Palm Beach,Deed,Online,7/9/2014,6/25/2014,175
8951,FL,Palm Beach,Deed,Online,8/13/2014,6/25/2014,145
8950,FL,Palm Beach,Deed,Online,9/10/2014,6/25/2014,93
9253,FL,Palm Beach,Deed,Online,9/10/2014,7/29/2014,110
9252,FL,Palm Beach,Deed,Online,10/8/2014,7/29/2014,102
9913,FL,Palm Beach,Deed,Online,11/5/2014,10/2/2014,122
9912,FL,Palm Beach,Deed,Online,12/10/2014,10/2/2014,54
10522,FL,Palm Beach,Deed,Online,1/14/2015,12/10/2014,115
10521,FL,Palm Beach,Deed,Online,2/11/2015,12/10/2014,89
10520,FL,Palm Beach,Deed,Online,3/11/2015,12/10/2014,12
11079,FL,Palm Beach,Deed,Online,4/8/2015,3/4/2015,32
11078,FL,Palm Beach,Deed,Online,5/6/2015,3/4/2015,57
11077,FL,Palm Beach,Deed,Online,6/10/2015,3/4/2015,51
12121,FL,Palm Beach,Deed,Online,7/15/2015,6/17/2015,77
12120,FL,Palm Beach,Deed,Online,8/12/2015,6/17/2015,58
12119,FL,Palm Beach,Deed,Online,9/16/2015,6/17/2015,21
12896,FL,Palm Beach,Deed,Online,10/14/2015,8/31/2015,93
13155,FL,Palm Beach,Deed,Online,11/18/2015,9/24/2015,101
13154,FL,Palm Beach,Deed,Online,12/16/2015,9/24/2015,27
13730,FL,Palm Beach,Deed,Online,1/13/2016,11/25/2015,81
13729,FL,Palm Beach,Deed,Online,2/10/2016,11/25/2015,63
13893,FL,Palm Beach,Deed,Online,3/9/2016,1/5/2016,56
14531,FL,Palm Beach,Deed,Online,4/6/2016,3/22/2016,43
14581,FL,Palm Beach,Deed,Online,5/11/2016,3/29/2016,88
14580,FL,Palm Beach,Deed,Online,6/8/2016,3/29/2016,86
4124,FL,Palm Beach,Lien,Online,5/15/2013,5/15/2013,28931
4125,FL,Palm Beach,Lien,Online,5/15/2013,5/15/2013,28931
8278,FL,Palm Beach,Lien,Online,6/1/2014,5/12/2014,27362
8279,FL,Palm Beach,Lien,Online,6/1/2014,5/12/2014,27362
8280,FL,Palm Beach,Lien,Online,6/1/2014,5/12/2014,27362
11675,FL,Palm Beach,Lien,Online,5/31/2015,5/9/2015,24958
2018,FL,Palm Beach,Lien,OTC,6/26/2012,n/a,18891
3974,FL,Pasco,Lien,Online,5/14/2013,4/25/2013,12997
8143,FL,Pasco,Lien,Online,5/13/2014,4/25/2014,15061
11522,FL,Pasco,Lien,Online,5/12/2015,4/27/2015,19435
1558,FL,Pasco,Lien,OTC,1/1/2013,n/a,258
1464,FL,Pasco,Lien,OTC,12/18/2013,n/a,155
2605,FL,Pinellas,Deed,Online,10/17/2012,10/8/2012,10
3291,FL,Pinellas,Deed,Online,2/20/2013,1/22/2013,46
3556,FL,Pinellas,Deed,Online,3/20/2013,3/1/2013,50
3555,FL,Pinellas,Deed,Online,3/27/2013,3/1/2013,4
3720,FL,Pinellas,Deed,Online,4/3/2013,3/27/2013,1
3719,FL,Pinellas,Deed,Online,4/17/2013,3/27/2013,22
3718,FL,Pinellas,Deed,Online,4/24/2013,3/27/2013,2
4268,FL,Pinellas,Deed,Online,6/12/2013,5/23/2013,5
4267,FL,Pinellas,Deed,Online,6/19/2013,5/23/2013,30
4266,FL,Pinellas,Deed,Online,7/17/2013,5/23/2013,54
5830,FL,Pinellas,Deed,Online,10/16/2013,9/19/2013,31
6310,FL,Pinellas,Deed,Online,11/13/2013,10/21/2013,30
6604,FL,Pinellas,Deed,Online,12/18/2013,11/18/2013,20
6948,FL,Pinellas,Deed,Online,1/15/2014,1/3/2014,42
6947,FL,Pinellas,Deed,Online,1/29/2014,1/3/2014,1
7130,FL,Pinellas,Deed,Online,2/5/2014,1/20/2014,1
7129,FL,Pinellas,Deed,Online,2/12/2014,1/20/2014,25
7416,FL,Pinellas,Deed,Online,3/5/2014,2/17/2014,2
7415,FL,Pinellas,Deed,Online,3/12/2014,2/17/2014,2
7414,FL,Pinellas,Deed,Online,3/19/2014,2/17/2014,40
7886,FL,Pinellas,Deed,Online,4/16/2014,4/3/2014,43
8032,FL,Pinellas,Deed,Online,5/7/2014,4/17/2014,1
8542,FL,Pinellas,Deed,Online,6/11/2014,5/31/2014,3
8541,FL,Pinellas,Deed,Online,6/18/2014,5/31/2014,48
8956,FL,Pinellas,Deed,Online,7/9/2014,6/25/2014,1
8955,FL,Pinellas,Deed,Online,7/16/2014,6/25/2014,2
8954,FL,Pinellas,Deed,Online,7/22/2014,6/25/2014,18
8953,FL,Pinellas,Deed,Online,8/5/2014,6/25/2014,28
9661,FL,Pinellas,Deed,Online,9/10/2014,9/5/2014,2
9660,FL,Pinellas,Deed,Online,9/17/2014,9/5/2014,7
9857,FL,Pinellas,Deed,Online,10/15/2014,9/26/2014,11
10127,FL,Pinellas,Deed,Online,11/19/2014,10/21/2014,36
10363,FL,Pinellas,Deed,Online,12/10/2014,11/19/2014,2
10448,FL,Pinellas,Deed,Online,12/17/2014,12/4/2014,26
10447,FL,Pinellas,Deed,Online,1/20/2015,12/4/2014,48
10601,FL,Pinellas,Deed,Online,2/24/2015,1/8/2015,1
10869,FL,Pinellas,Deed,Online,3/18/2015,2/11/2015,1
11266,FL,Pinellas,Deed,Online,4/16/2015,3/25/2015,40
11265,FL,Pinellas,Deed,Online,4/22/2015,3/25/2015,1
11264,FL,Pinellas,Deed,Online,5/13/2015,3/25/2015,41
11857,FL,Pinellas,Deed,Online,6/10/2015,5/26/2015,5
11856,FL,Pinellas,Deed,Online,6/17/2015,5/26/2015,69
11855,FL,Pinellas,Deed,Online,7/15/2015,5/26/2015,66
11854,FL,Pinellas,Deed,Online,7/29/2015,5/26/2015,2
11853,FL,Pinellas,Deed,Online,8/12/2015,5/26/2015,66
11852,FL,Pinellas,Deed,Online,9/16/2015,5/26/2015,43
11851,FL,Pinellas,Deed,Online,9/23/2015,5/26/2015,23
13173,FL,Pinellas,Deed,Online,10/14/2015,9/25/2015,18
13172,FL,Pinellas,Deed,Online,10/21/2015,9/25/2015,2
13907,FL,Pinellas,Deed,Online,1/13/2016,1/6/2016,28
14312,FL,Pinellas,Deed,Online,3/9/2016,2/22/2016,4
14311,FL,Pinellas,Deed,Online,3/16/2016,2/22/2016,35
14503,FL,Pinellas,Deed,Online,4/6/2016,3/17/2016,1
14502,FL,Pinellas,Deed,Online,4/13/2016,3/17/2016,16
14749,FL,Pinellas,Deed,Online,5/11/2016,4/22/2016,1
14748,FL,Pinellas,Deed,Online,5/18/2016,4/22/2016,19
15028,FL,Pinellas,Deed,Online,7/13/2016,6/27/2016,20
15282,FL,Pinellas,Deed,Online,9/21/2016,8/25/2016,11
2194,FL,Pinellas,Deed,n/a,9/12/2012,8/22/2012,4
2193,FL,Pinellas,Deed,n/a,10/17/2012,8/22/2012,26
2192,FL,Pinellas,Deed,n/a,11/14/2012,8/22/2012,39
2860,FL,Pinellas,Deed,n/a,11/14/2012,10/31/2012,41
2191,FL,Pinellas,Deed,n/a,11/28/2012,8/22/2012,5
2859,FL,Pinellas,Deed,n/a,11/28/2012,10/31/2012,6
2190,FL,Pinellas,Deed,n/a,12/12/2012,8/22/2012,47
2858,FL,Pinellas,Deed,n/a,12/12/2012,10/31/2012,47
2857,FL,Pinellas,Deed,n/a,1/16/2013,10/31/2012,34
2856,FL,Pinellas,Deed,n/a,2/20/2013,10/31/2012,59
4137,FL,Pinellas,Lien,Online,6/1/2013,5/17/2013,17421
4891,FL,Pinellas,Lien,Online,7/31/2013,7/16/2013,1
4890,FL,Pinellas,Lien,Online,8/14/2013,7/16/2013,30
4889,FL,Pinellas,Lien,Online,9/18/2013,7/16/2013,1
8393,FL,Pinellas,Lien,Online,5/31/2014,5/18/2014,18599
11775,FL,Pinellas,Lien,Online,5/30/2015,5/15/2015,13026
11776,FL,Pinellas,Lien,Online,5/30/2015,5/15/2015,13026
11777,FL,Pinellas,Lien,Online,5/30/2015,5/15/2015,13026
1665,FL,Pinellas,Lien,Online – Otc,3/12/2014,n/a,447
1591,FL,Pinellas,Lien,Online – Otc,7/8/2014,n/a,329
1617,FL,Pinellas,Lien,Online – Otc Lien,3/9/2015,n/a,370
1684,FL,Pinellas,Lien,Online – Otc Lien,3/2/2016,n/a,492
1644,FL,Pinellas,Lien,Online Otc Lien,12/12/2014,n/a,410
1645,FL,Pinellas,Lien,Online Otc Lien,12/12/2014,n/a,410
1590,FL,Pinellas,Lien,OTC,12/10/2012,n/a,328
1680,FL,Pinellas,Lien,OTC,12/18/2013,n/a,475
2606,FL,Polk,Deed,Online,10/23/2012,10/8/2012,52
3104,FL,Polk,Deed,Online,12/20/2012,11/28/2012,63
3293,FL,Polk,Deed,Online,2/14/2013,1/22/2013,1
3292,FL,Polk,Deed,Online,2/21/2013,1/22/2013,107
3721,FL,Polk,Deed,Online,4/18/2013,3/27/2013,47
4270,FL,Polk,Deed,Online,6/13/2013,5/23/2013,1
4269,FL,Polk,Deed,Online,6/20/2013,5/23/2013,87
5402,FL,Polk,Deed,Online,9/19/2013,8/20/2013,58
5831,FL,Polk,Deed,Online,10/17/2013,9/19/2013,52
6311,FL,Polk,Deed,Online,11/21/2013,10/21/2013,67
6605,FL,Polk,Deed,Online,12/19/2013,11/18/2013,101
6949,FL,Polk,Deed,Online,1/16/2014,1/3/2014,45
7131,FL,Polk,Deed,Online,2/20/2014,1/20/2014,20
7417,FL,Polk,Deed,Online,3/20/2014,2/17/2014,112
7888,FL,Polk,Deed,Online,4/16/2014,4/3/2014,1
7887,FL,Polk,Deed,Online,4/17/2014,4/3/2014,52
8033,FL,Polk,Deed,Online,5/15/2014,4/17/2014,45
8758,FL,Polk,Deed,Online,6/19/2014,6/12/2014,40
8757,FL,Polk,Deed,Online,7/17/2014,6/12/2014,69
9111,FL,Polk,Deed,Online,8/21/2014,7/15/2014,39
9473,FL,Polk,Deed,Online,9/18/2014,8/20/2014,60
9858,FL,Polk,Deed,Online,10/16/2014,9/26/2014,89
10364,FL,Polk,Deed,Online,12/18/2014,11/19/2014,50
10538,FL,Polk,Deed,Online,1/15/2015,12/11/2014,96
10870,FL,Polk,Deed,Online,3/19/2015,2/11/2015,51
11267,FL,Polk,Deed,Online,4/16/2015,3/25/2015,77
11435,FL,Polk,Deed,Online,5/21/2015,4/17/2015,53
11802,FL,Polk,Deed,Online,6/18/2015,5/20/2015,63
12056,FL,Polk,Deed,Online,7/22/2015,6/11/2015,65
12519,FL,Polk,Deed,Online,8/20/2015,7/27/2015,76
12810,FL,Polk,Deed,Online,9/17/2015,8/25/2015,64
13174,FL,Polk,Deed,Online,10/15/2015,9/25/2015,59
13394,FL,Polk,Deed,Online,11/19/2015,10/19/2015,93
13690,FL,Polk,Deed,Online,12/17/2015,11/22/2015,171
13908,FL,Polk,Deed,Online,1/21/2016,1/6/2016,88
14112,FL,Polk,Deed,Online,2/18/2016,1/28/2016,120
14504,FL,Polk,Deed,Online,4/21/2016,3/17/2016,40
14751,FL,Polk,Deed,Online,5/19/2016,4/22/2016,60
14750,FL,Polk,Deed,Online,5/26/2016,4/22/2016,1
15029,FL,Polk,Deed,Online,7/21/2016,6/27/2016,57
15112,FL,Polk,Deed,Online,8/18/2016,7/19/2016,33
15283,FL,Polk,Deed,Online,9/15/2016,8/25/2016,92
4045,FL,Polk,Lien,Online,5/29/2013,5/3/2013,36642
4892,FL,Polk,Lien,Online,8/15/2013,7/16/2013,68
8205,FL,Polk,Lien,Online,6/1/2014,5/5/2014,31721
10691,FL,Polk,Lien,Online,2/19/2015,1/19/2015,127
11607,FL,Polk,Lien,Online,6/1/2015,5/2/2015,35371
2025,FL,Polk,Lien,Online – Otc,7/30/2013,n/a,21263
2017,FL,Polk,Lien,OTC,1/20/2013,n/a,18692
2195,FL,Putnam,Deed,n/a,9/12/2012,8/22/2012,31
2447,FL,Putnam,Deed,n/a,10/10/2012,9/27/2012,32
3134,FL,Putnam,Deed,n/a,12/12/2012,11/30/2012,40
3576,FL,Putnam,Deed,n/a,3/13/2013,3/5/2013,13
3774,FL,Putnam,Deed,n/a,4/10/2013,4/1/2013,28
3773,FL,Putnam,Deed,n/a,5/8/2013,4/1/2013,40
4295,FL,Putnam,Deed,n/a,6/12/2013,5/27/2013,48
4570,FL,Putnam,Deed,n/a,7/10/2013,6/18/2013,33
4939,FL,Putnam,Deed,n/a,8/10/2013,7/18/2013,95
5315,FL,Putnam,Deed,n/a,9/4/2013,8/16/2013,67
5866,FL,Putnam,Deed,n/a,10/9/2013,9/20/2013,85
6083,FL,Putnam,Deed,n/a,11/6/2013,10/4/2013,99
6569,FL,Putnam,Deed,n/a,12/4/2013,11/15/2013,103
6798,FL,Putnam,Deed,n/a,1/8/2014,12/5/2013,91
6950,FL,Putnam,Deed,n/a,2/5/2014,1/3/2014,128
7607,FL,Putnam,Deed,n/a,3/12/2014,3/3/2014,126
7606,FL,Putnam,Deed,n/a,4/9/2014,3/3/2014,73
7870,FL,Putnam,Deed,n/a,5/14/2014,4/2/2014,94
8667,FL,Putnam,Deed,n/a,7/9/2014,6/8/2014,31
9254,FL,Putnam,Deed,n/a,8/6/2014,7/29/2014,56
10171,FL,Putnam,Deed,n/a,11/5/2014,10/24/2014,60
10403,FL,Putnam,Deed,n/a,12/10/2014,11/24/2014,67
10539,FL,Putnam,Deed,n/a,1/14/2015,12/11/2014,74
10683,FL,Putnam,Deed,n/a,2/11/2015,1/16/2015,70
10898,FL,Putnam,Deed,n/a,3/11/2015,2/13/2015,45
11080,FL,Putnam,Deed,n/a,4/8/2015,3/4/2015,55
12897,FL,Putnam,Deed,n/a,9/16/2015,8/31/2015,27
13157,FL,Putnam,Deed,n/a,10/14/2015,9/24/2015,36
13156,FL,Putnam,Deed,n/a,11/4/2015,9/24/2015,19
14022,FL,Putnam,Deed,n/a,2/10/2016,1/15/2016,28
14611,FL,Putnam,Deed,n/a,4/13/2016,4/4/2016,28
4052,FL,Putnam,Lien,Online,5/1/2013,5/7/2013,22178
4053,FL,Putnam,Lien,Online,5/1/2013,5/7/2013,22178
8195,FL,Putnam,Lien,Online,5/30/2014,5/2/2014,21826
11608,FL,Putnam,Lien,Online,5/29/2015,5/4/2015,21912
11513,FL,Santa Rosa,Deed,Online,5/4/2015,4/24/2015,9
11512,FL,Santa Rosa,Deed,Online,5/11/2015,4/24/2015,9
11805,FL,Santa Rosa,Deed,Online,6/1/2015,5/20/2015,9
11804,FL,Santa Rosa,Deed,Online,6/8/2015,5/20/2015,8
11803,FL,Santa Rosa,Deed,Online,6/22/2015,5/20/2015,9
12060,FL,Santa Rosa,Deed,Online,6/29/2015,6/11/2015,8
12059,FL,Santa Rosa,Deed,Online,7/6/2015,6/11/2015,1
12058,FL,Santa Rosa,Deed,Online,7/13/2015,6/11/2015,8
12057,FL,Santa Rosa,Deed,Online,7/27/2015,6/11/2015,9
12901,FL,Santa Rosa,Deed,Online,9/14/2015,8/31/2015,8
12900,FL,Santa Rosa,Deed,Online,9/28/2015,8/31/2015,8
12899,FL,Santa Rosa,Deed,Online,10/5/2015,8/31/2015,10
12898,FL,Santa Rosa,Deed,Online,10/19/2015,8/31/2015,3
13443,FL,Santa Rosa,Deed,Online,11/16/2015,10/23/2015,8
13442,FL,Santa Rosa,Deed,Online,11/23/2015,10/23/2015,8
14315,FL,Santa Rosa,Deed,Online,2/29/2016,2/22/2016,3
14314,FL,Santa Rosa,Deed,Online,3/7/2016,2/22/2016,1
14313,FL,Santa Rosa,Deed,Online,3/14/2016,2/22/2016,5
14921,FL,Santa Rosa,Deed,Online,6/6/2016,6/2/2016,4
14919,FL,Santa Rosa,Deed,Online,6/20/2016,6/2/2016,7
2450,FL,Santa Rosa,Deed,n/a,10/15/2012,9/27/2012,6
2449,FL,Santa Rosa,Deed,n/a,10/22/2012,9/27/2012,1
2448,FL,Santa Rosa,Deed,n/a,10/29/2012,9/27/2012,6
2996,FL,Santa Rosa,Deed,n/a,12/3/2012,11/27/2012,4
2995,FL,Santa Rosa,Deed,n/a,12/17/2012,11/27/2012,5
2994,FL,Santa Rosa,Deed,n/a,1/7/2013,11/27/2012,1
2993,FL,Santa Rosa,Deed,n/a,1/13/2013,11/27/2012,6
3306,FL,Santa Rosa,Deed,n/a,2/25/2013,1/23/2013,6
3305,FL,Santa Rosa,Deed,n/a,3/4/2013,1/23/2013,4
3778,FL,Santa Rosa,Deed,n/a,4/8/2013,4/1/2013,10
3777,FL,Santa Rosa,Deed,n/a,4/15/2013,4/1/2013,10
3776,FL,Santa Rosa,Deed,n/a,5/6/2013,4/1/2013,9
3775,FL,Santa Rosa,Deed,n/a,5/13/2013,4/1/2013,10
4300,FL,Santa Rosa,Deed,n/a,6/3/2013,5/27/2013,10
4299,FL,Santa Rosa,Deed,n/a,6/10/2013,5/27/2013,10
4298,FL,Santa Rosa,Deed,n/a,6/17/2013,5/27/2013,6
4297,FL,Santa Rosa,Deed,n/a,6/24/2013,5/27/2013,10
4296,FL,Santa Rosa,Deed,n/a,7/15/2013,5/27/2013,7
4944,FL,Santa Rosa,Deed,n/a,7/22/2013,7/18/2013,9
4943,FL,Santa Rosa,Deed,n/a,7/29/2013,7/18/2013,10
4942,FL,Santa Rosa,Deed,n/a,8/5/2013,7/18/2013,10
4941,FL,Santa Rosa,Deed,n/a,8/19/2013,7/18/2013,9
4940,FL,Santa Rosa,Deed,n/a,8/26/2013,7/18/2013,10
5871,FL,Santa Rosa,Deed,n/a,9/30/2013,9/20/2013,11
5870,FL,Santa Rosa,Deed,n/a,10/7/2013,9/20/2013,14
5869,FL,Santa Rosa,Deed,n/a,10/21/2013,9/20/2013,9
5868,FL,Santa Rosa,Deed,n/a,10/28/2013,9/20/2013,13
5867,FL,Santa Rosa,Deed,n/a,11/4/2013,9/20/2013,14
6573,FL,Santa Rosa,Deed,n/a,11/25/2013,11/15/2013,13
6572,FL,Santa Rosa,Deed,n/a,12/2/2013,11/15/2013,13
6571,FL,Santa Rosa,Deed,n/a,12/16/2013,11/15/2013,13
6570,FL,Santa Rosa,Deed,n/a,1/6/2014,11/15/2013,2
6953,FL,Santa Rosa,Deed,n/a,1/13/2014,1/3/2014,11
6952,FL,Santa Rosa,Deed,n/a,1/27/2014,1/3/2014,10
6951,FL,Santa Rosa,Deed,n/a,2/10/2014,1/3/2014,9
7467,FL,Santa Rosa,Deed,n/a,2/24/2014,2/19/2014,9
7466,FL,Santa Rosa,Deed,n/a,3/3/2014,2/19/2014,3
7465,FL,Santa Rosa,Deed,n/a,3/10/2014,2/19/2014,10
7464,FL,Santa Rosa,Deed,n/a,3/24/2014,2/19/2014,8
7463,FL,Santa Rosa,Deed,n/a,3/31/2014,2/19/2014,11
7462,FL,Santa Rosa,Deed,n/a,4/7/2014,2/19/2014,10
7759,FL,Santa Rosa,Deed,n/a,4/14/2014,3/17/2014,10
7758,FL,Santa Rosa,Deed,n/a,4/28/2014,3/17/2014,10
8101,FL,Santa Rosa,Deed,n/a,5/5/2014,4/22/2014,11
8100,FL,Santa Rosa,Deed,n/a,5/12/2014,4/22/2014,10
8099,FL,Santa Rosa,Deed,n/a,5/19/2014,4/22/2014,10
8098,FL,Santa Rosa,Deed,n/a,6/2/2014,4/22/2014,10
8097,FL,Santa Rosa,Deed,n/a,6/9/2014,4/22/2014,10
8672,FL,Santa Rosa,Deed,n/a,6/16/2014,6/8/2014,10
8671,FL,Santa Rosa,Deed,n/a,6/23/2014,6/8/2014,10
8670,FL,Santa Rosa,Deed,n/a,6/30/2014,6/8/2014,10
8669,FL,Santa Rosa,Deed,n/a,7/14/2014,6/8/2014,10
8668,FL,Santa Rosa,Deed,n/a,7/21/2014,6/8/2014,9
9917,FL,Santa Rosa,Deed,n/a,10/20/2014,10/2/2014,8
9916,FL,Santa Rosa,Deed,n/a,10/27/2014,10/2/2014,10
9915,FL,Santa Rosa,Deed,n/a,11/3/2014,10/2/2014,11
10405,FL,Santa Rosa,Deed,n/a,12/15/2014,11/24/2014,1
10404,FL,Santa Rosa,Deed,n/a,1/12/2015,11/24/2014,6
10524,FL,Santa Rosa,Deed,n/a,1/12/2015,12/10/2014,6
10523,FL,Santa Rosa,Deed,n/a,1/26/2015,12/10/2014,7
10686,FL,Santa Rosa,Deed,n/a,2/9/2015,1/16/2015,8
10685,FL,Santa Rosa,Deed,n/a,2/23/2015,1/16/2015,8
10684,FL,Santa Rosa,Deed,n/a,3/2/2015,1/16/2015,10
11085,FL,Santa Rosa,Deed,n/a,3/9/2015,3/4/2015,9
11084,FL,Santa Rosa,Deed,n/a,3/16/2015,3/4/2015,9
11083,FL,Santa Rosa,Deed,n/a,3/23/2015,3/4/2015,10
11082,FL,Santa Rosa,Deed,n/a,3/30/2015,3/4/2015,9
11081,FL,Santa Rosa,Deed,n/a,4/13/2015,3/4/2015,11
12540,FL,Santa Rosa,Deed,n/a,8/3/2015,7/28/2015,2
12539,FL,Santa Rosa,Deed,n/a,8/17/2015,7/28/2015,5
4054,FL,Santa Rosa,Lien,Online,5/6/2013,5/7/2013,8507
11682,FL,Santa Rosa,Lien,Online,5/31/2015,5/11/2015,6978
9026,FL,Santa Rosa,Lien,Online – County Held Certificate Sale,7/11/2014,7/8/2014,1524
1821,FL,Santa Rosa,Lien,Online – Otc,7/30/2013,n/a,1234
1949,FL,Santa Rosa,Lien,Online – Otc Lien,3/2/2016,n/a,4378
1972,FL,Santa Rosa,Lien,Online Otc Lien,6/30/2015,n/a,6219
14922,FL,Santa Rosa,n/a,n/a,6/6/2016,6/2/2016,4
14920,FL,Santa Rosa,n/a,n/a,6/20/2016,6/2/2016,7
2046,FL,Sarasota,Deed,n/a,9/11/2012,7/18/2012,1
2197,FL,Sarasota,Deed,n/a,9/25/2012,8/22/2012,13
2196,FL,Sarasota,Deed,n/a,10/23/2012,8/22/2012,24
2452,FL,Sarasota,Deed,n/a,10/23/2012,9/27/2012,17
2451,FL,Sarasota,Deed,n/a,11/6/2012,9/27/2012,2
3113,FL,Sarasota,Deed,n/a,12/11/2012,11/29/2012,16
3307,FL,Sarasota,Deed,n/a,2/26/2013,1/23/2013,8
3780,FL,Sarasota,Deed,n/a,4/23/2013,4/1/2013,12
3779,FL,Sarasota,Deed,n/a,5/21/2013,4/1/2013,4
4952,FL,Sarasota,Deed,n/a,7/25/2013,7/18/2013,7
4951,FL,Sarasota,Deed,n/a,7/30/2013,7/18/2013,18
4950,FL,Sarasota,Deed,n/a,8/1/2013,7/18/2013,15
4949,FL,Sarasota,Deed,n/a,8/6/2013,7/18/2013,21
4948,FL,Sarasota,Deed,n/a,8/8/2013,7/18/2013,11
4947,FL,Sarasota,Deed,n/a,8/13/2013,7/18/2013,15
4946,FL,Sarasota,Deed,n/a,8/15/2013,7/18/2013,14
4945,FL,Sarasota,Deed,n/a,8/20/2013,7/18/2013,18
5876,FL,Sarasota,Deed,n/a,10/15/2013,9/20/2013,10
5875,FL,Sarasota,Deed,n/a,10/22/2013,9/20/2013,12
5874,FL,Sarasota,Deed,n/a,10/24/2013,9/20/2013,10
5873,FL,Sarasota,Deed,n/a,10/29/2013,9/20/2013,10
5872,FL,Sarasota,Deed,n/a,10/31/2013,9/20/2013,9
