Control,State,County,Type,Type,Date,Post Data,Parcels
11344,AL,Dale,Lien,n/a,4/22/2015,4/9/2015,265
14578,AL,Dale,Lien,n/a,4/27/2016,3/29/2016,217
11335,AL,Dallas,Lien,n/a,5/15/2015,4/8/2015,204
14722,AL,Dallas,Lien,n/a,5/16/2016,4/19/2016,204
3761,AL,Dekalb,Lien,n/a,4/19/2013,4/1/2013,436
7899,AL,Dekalb,Lien,n/a,4/18/2014,4/4/2014,569
11444,AL,Dekalb,Lien,n/a,5/18/2015,4/20/2015,463
14639,AL,Elmore,Lien,n/a,5/16/2016,4/7/2016,272
3819,AL,Escambia,Lien,n/a,5/16/2013,4/9/2013,76
7917,AL,Escambia,Lien,n/a,5/8/2014,4/8/2014,145
11336,AL,Escambia,Lien,n/a,5/14/2015,4/8/2015,13
14640,AL,Escambia,Lien,n/a,5/12/2016,4/7/2016,104
3963,AL,Etowah,Lien,n/a,5/16/2013,4/24/2013,1055
3832,AL,Fayette,Lien,n/a,5/3/2013,4/11/2013,67
14723,AL,Fayette,Lien,n/a,5/13/2016,4/19/2016,40
3820,AL,Franklin,Lien,n/a,4/19/2013,4/9/2013,245
3794,AL,Geneva,Lien,n/a,5/7/2013,4/3/2013,217
7918,AL,Geneva,Lien,n/a,5/6/2014,4/8/2014,173
11356,AL,Geneva,Lien,n/a,5/12/2015,4/10/2015,174
14641,AL,Geneva,Lien,n/a,5/10/2016,4/7/2016,159
3847,AL,Greene,Lien,n/a,5/13/2013,4/16/2013,53
11463,AL,Greene,Lien,n/a,5/11/2015,4/22/2015,45
11494,AL,Hale,Lien,n/a,5/26/2015,4/24/2015,104
3701,AL,Henry,Lien,n/a,4/15/2013,3/21/2013,28
11238,AL,Henry,Lien,n/a,4/20/2015,3/23/2015,79
3821,AL,Houston,Lien,n/a,5/20/2013,4/9/2013,205
8093,AL,Houston,Lien,n/a,5/19/2014,4/22/2014,240
11445,AL,Houston,Lien,n/a,5/18/2015,4/20/2015,222
7881,AL,Jackson,Lien,n/a,4/29/2014,4/3/2014,170
11302,AL,Jackson,Lien,n/a,4/28/2015,4/1/2015,158
3943,AL,Lamar,Lien,n/a,5/20/2013,4/22/2013,59
14734,AL,Lamar,Lien,n/a,5/24/2016,4/20/2016,39
3951,AL,Lauderdale,Lien,n/a,5/7/2013,4/23/2013,1428
